"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","366","HeroDelivery test","","","","","setLastname positive",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","45","API tests","","","","","/api/saveHero",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","403","WorkDelivery test","","","","","setWorkDescription negative",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","68","HeroValidator test","Hero lastname tests","","","","21 letter lastname",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","268","SkillValidator test","Skill description tests","","","","99 letter description",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","141","SkillDelivery test","","","","","deleteSkill negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","46","Editor test","Editor saveSkill","","","","not owner",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","367","WorkDelivery test","","","","","deleteWork positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","362","WorkDelivery test","","","","","getWork negative",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","36","API tests","","","","","/api/event",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","138","WorkValidator test","Work date tests","","","","499 work href",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","28","WorkValidator test","Work name tests","","","","41 letter name",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","189","SkillDelivery test","","","","","setSkillStartDate negative",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","154","SkillDelivery test","","","","","setSkillName negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","59","Editor test","deleteSkill","","","","not owner",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","184","SkillDelivery test","","","","","setSkillCompetence negative",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","39","API tests","","","","","/api/check",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","284","SkillValidator test","Skill link tests","","","","501 letter link",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","88","SkillDelivery test","","","","","getSkill positive",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","91","SkillDelivery test","","","","","createSkill positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","435","WorkDelivery test","","","","","setHref positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","198","HeroValidator test","Hero photo tests","","","","50 letter filename photo",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","135","SkillValidator test","Skill image tests","","","","Not image",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","354","HeroDelivery test","","","","","setSurname negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","178","EventBus test","","","","","on test",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","68","HeroValidator test","Hero lastname tests","","","","19 letter lastname",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","58","Editor test","createSkill","","","","owner, all valid",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","366","WorkDelivery test","","","","","createWork negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","186","EventBus test","","","","","call with arguments",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","53","Editor test","Editor saveSkill","","","","owner, delivery error",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","143","WorkValidator test","Work image tests","","","","Empty filename",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","404","HeroDelivery test","","","","","setBirthdate positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","313","HeroDelivery test","","","","","setSurname positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","55","Editor test","createSkill","","","","not owner",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","200","HeroValidator test","Hero photo tests","","","","51 letter filename photo",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","186","SkillDelivery test","","","","","setSkillStartDate positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","177","WorkValidator test","Work image tests","","","","501 work filename",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","188","HeroValidator test","Hero photo tests","","","","Zero size photo",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","27","WorkValidator test","Work name tests","","","","39 letter name",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","86","SkillDelivery test","","","","","getSkillNames negative",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","176","WorkValidator test","Work image tests","","","","499 work filename",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","202","HeroValidator test","Hero resume tests","","","","Zero size resume",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","191","SkillDelivery test","","","","","setSkillEndDate positive",""
